Date,Holiday Name
1989-12-26,Boxing Day
1990-01-01,New Year's Day
1990-01-02,Day after New Year's Day
1990-02-06,Waitangi Day
1990-04-13,Good Friday
1990-04-16,Easter Monday
1990-04-25,Anzac Day
1990-06-04,Queen's Birthday
1990-10-22,Labour Day
1990-12-25,Christmas Day
1990-12-26,Boxing Day
1991-01-01,New Year's Day
1991-01-02,Day after New Year's Day
1991-02-06,Waitangi Day
1991-03-29,Good Friday
1991-04-01,Easter Monday
1991-04-25,Anzac Day
1991-06-03,Queen's Birthday
1991-10-28,Labour Day
1991-12-25,Christmas Day
1991-12-26,Boxing Day
1992-01-01,New Year's Day
1992-01-02,Day after New Year's Day
1992-02-06,Waitangi Day
1992-04-17,Good Friday
1992-04-20,Easter Monday
1992-04-25,Anzac Day
1992-06-01,Queen's Birthday
1992-10-26,Labour Day
1992-12-25,Christmas Day
1992-12-26,Boxing Day
1992-12-28,Boxing Day (observed)
1993-01-01,New Year's Day
1993-01-02,Day after New Year's Day
1993-01-04,Day after New Year's Day (observed)
1993-02-06,Waitangi Day
1993-04-09,Good Friday
1993-04-12,Easter Monday
1993-04-25,Anzac Day
1993-06-07,Queen's Birthday
1993-10-25,Labour Day
1993-12-25,Christmas Day
1993-12-26,Boxing Day
1993-12-27,Christmas Day (observed)
1993-12-28,Boxing Day (observed)
1994-01-01,New Year's Day
1994-01-02,Day after New Year's Day
1994-01-03,New Year's Day (observed)
1994-01-04,Day after New Year's Day (observed)
1994-02-06,Waitangi Day
1994-04-01,Good Friday
1994-04-04,Easter Monday
1994-04-25,Anzac Day
1994-06-06,Queen's Birthday
1994-10-24,Labour Day
1994-12-25,Christmas Day
1994-12-26,Boxing Day
1994-12-27,Christmas Day (observed)
1995-01-01,New Year's Day
1995-01-02,Day after New Year's Day
1995-01-03,New Year's Day (observed)
1995-02-06,Waitangi Day
1995-04-14,Good Friday
1995-04-17,Easter Monday
1995-04-25,Anzac Day
1995-06-05,Queen's Birthday
1995-10-23,Labour Day
1995-12-25,Christmas Day
1995-12-26,Boxing Day
1996-01-01,New Year's Day
1996-01-02,Day after New Year's Day
1996-02-06,Waitangi Day
1996-04-05,Good Friday
1996-04-08,Easter Monday
1996-04-25,Anzac Day
1996-06-03,Queen's Birthday
1996-10-28,Labour Day
1996-12-25,Christmas Day
1996-12-26,Boxing Day
1997-01-01,New Year's Day
1997-01-02,Day after New Year's Day
1997-02-06,Waitangi Day
1997-03-28,Good Friday
1997-03-31,Easter Monday
1997-04-25,Anzac Day
1997-06-02,Queen's Birthday
1997-10-27,Labour Day
1997-12-25,Christmas Day
1997-12-26,Boxing Day
1998-01-01,New Year's Day
1998-01-02,Day after New Year's Day
1998-02-06,Waitangi Day
1998-04-10,Good Friday
1998-04-13,Easter Monday
1998-04-25,Anzac Day
1998-06-01,Queen's Birthday
1998-10-26,Labour Day
1998-12-25,Christmas Day
1998-12-26,Boxing Day
1998-12-28,Boxing Day (observed)
1999-01-01,New Year's Day
1999-01-02,Day after New Year's Day
1999-01-04,Day after New Year's Day (observed)
1999-02-06,Waitangi Day
1999-04-02,Good Friday
1999-04-05,Easter Monday
1999-04-25,Anzac Day
1999-06-07,Queen's Birthday
1999-10-25,Labour Day
1999-12-25,Christmas Day
1999-12-26,Boxing Day
1999-12-27,Christmas Day (observed)
1999-12-28,Boxing Day (observed)
2000-01-01,New Year's Day
2000-01-02,Day after New Year's Day
2000-01-03,New Year's Day (observed)
2000-01-04,Day after New Year's Day (observed)
2000-02-06,Waitangi Day
2000-04-21,Good Friday
2000-04-24,Easter Monday
2000-04-25,Anzac Day
2000-06-05,Queen's Birthday
2000-10-23,Labour Day
2000-12-25,Christmas Day
2000-12-26,Boxing Day
2001-01-01,New Year's Day
2001-01-02,Day after New Year's Day
2001-02-06,Waitangi Day
2001-04-13,Good Friday
2001-04-16,Easter Monday
2001-04-25,Anzac Day
2001-06-04,Queen's Birthday
2001-10-22,Labour Day
2001-12-25,Christmas Day
2001-12-26,Boxing Day
2002-01-01,New Year's Day
2002-01-02,Day after New Year's Day
2002-02-06,Waitangi Day
2002-03-29,Good Friday
2002-04-01,Easter Monday
2002-04-25,Anzac Day
2002-06-03,Queen's Birthday
2002-10-28,Labour Day
2002-12-25,Christmas Day
2002-12-26,Boxing Day
2003-01-01,New Year's Day
2003-01-02,Day after New Year's Day
2003-02-06,Waitangi Day
2003-04-18,Good Friday
2003-04-21,Easter Monday
2003-04-25,Anzac Day
2003-06-02,Queen's Birthday
2003-10-27,Labour Day
2003-12-25,Christmas Day
2003-12-26,Boxing Day
2004-01-01,New Year's Day
2004-01-02,Day after New Year's Day
2004-02-06,Waitangi Day
2004-04-09,Good Friday
2004-04-12,Easter Monday
2004-04-25,Anzac Day
2004-06-07,Queen's Birthday
2004-10-25,Labour Day
2004-12-25,Christmas Day
2004-12-26,Boxing Day
2004-12-27,Christmas Day (observed)
2004-12-28,Boxing Day (observed)
2005-01-01,New Year's Day
2005-01-02,Day after New Year's Day
2005-01-03,New Year's Day (observed)
2005-01-04,Day after New Year's Day (observed)
2005-02-06,Waitangi Day
2005-03-25,Good Friday
2005-03-28,Easter Monday
2005-04-25,Anzac Day
2005-06-06,Queen's Birthday
2005-10-24,Labour Day
2005-12-25,Christmas Day
2005-12-26,Boxing Day
2005-12-27,Christmas Day (observed)
2006-01-01,New Year's Day
2006-01-02,Day after New Year's Day
2006-01-03,New Year's Day (observed)
2006-02-06,Waitangi Day
2006-04-14,Good Friday
2006-04-17,Easter Monday
2006-04-25,Anzac Day
2006-06-05,Queen's Birthday
2006-10-23,Labour Day
2006-12-25,Christmas Day
2006-12-26,Boxing Day
2007-01-01,New Year's Day
2007-01-02,Day after New Year's Day
2007-02-06,Waitangi Day
2007-04-06,Good Friday
2007-04-09,Easter Monday
2007-04-25,Anzac Day
2007-06-04,Queen's Birthday
2007-10-22,Labour Day
2007-12-25,Christmas Day
2007-12-26,Boxing Day
2008-01-01,New Year's Day
2008-01-02,Day after New Year's Day
2008-02-06,Waitangi Day
2008-03-21,Good Friday
2008-03-24,Easter Monday
2008-04-25,Anzac Day
2008-06-02,Queen's Birthday
2008-10-27,Labour Day
2008-12-25,Christmas Day
2008-12-26,Boxing Day
2009-01-01,New Year's Day
2009-01-02,Day after New Year's Day
2009-02-06,Waitangi Day
2009-04-10,Good Friday
2009-04-13,Easter Monday
2009-04-25,Anzac Day
2009-06-01,Queen's Birthday
2009-10-26,Labour Day
2009-12-25,Christmas Day
2009-12-26,Boxing Day
2009-12-28,Boxing Day (observed)
2010-01-01,New Year's Day
2010-01-02,Day after New Year's Day
2010-01-04,Day after New Year's Day (observed)
2010-02-06,Waitangi Day
2010-04-02,Good Friday
2010-04-05,Easter Monday
2010-04-25,Anzac Day
2010-06-07,Queen's Birthday
2010-10-25,Labour Day
2010-12-25,Christmas Day
2010-12-26,Boxing Day
2010-12-27,Christmas Day (observed)
2010-12-28,Boxing Day (observed)
2011-01-01,New Year's Day
2011-01-02,Day after New Year's Day
2011-01-03,New Year's Day (observed)
2011-01-04,Day after New Year's Day (observed)
2011-02-06,Waitangi Day
2011-04-22,Good Friday
2011-04-25,Anzac Day; Easter Monday
2011-06-06,Queen's Birthday
2011-10-24,Labour Day
2011-12-25,Christmas Day
2011-12-26,Boxing Day
2011-12-27,Christmas Day (observed)
2012-01-01,New Year's Day
2012-01-02,Day after New Year's Day
2012-01-03,New Year's Day (observed)
2012-02-06,Waitangi Day
2012-04-06,Good Friday
2012-04-09,Easter Monday
2012-04-25,Anzac Day
2012-06-04,Queen's Birthday
2012-10-22,Labour Day
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-01-02,Day after New Year's Day
2013-02-06,Waitangi Day
2013-03-29,Good Friday
2013-04-01,Easter Monday
2013-04-25,Anzac Day
2013-06-03,Queen's Birthday
2013-10-28,Labour Day
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2014-01-01,New Year's Day
2014-01-02,Day after New Year's Day
2014-02-06,Waitangi Day
2014-04-18,Good Friday
2014-04-21,Easter Monday
2014-04-25,Anzac Day
2014-06-02,Queen's Birthday
2014-10-27,Labour Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-01-02,Day after New Year's Day
2015-02-06,Waitangi Day
2015-04-03,Good Friday
2015-04-06,Easter Monday
2015-04-25,Anzac Day
2015-04-27,Anzac Day (observed)
2015-06-01,Queen's Birthday
2015-10-26,Labour Day
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2015-12-28,Boxing Day (observed)
2016-01-01,New Year's Day
2016-01-02,Day after New Year's Day
2016-01-04,Day after New Year's Day (observed)
2016-02-06,Waitangi Day
2016-02-08,Waitangi Day (observed)
2016-03-25,Good Friday
2016-03-28,Easter Monday
2016-04-25,Anzac Day
2016-06-06,Queen's Birthday
2016-10-24,Labour Day
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-12-27,Christmas Day (observed)
2017-01-01,New Year's Day
2017-01-02,Day after New Year's Day
2017-01-03,New Year's Day (observed)
2017-02-06,Waitangi Day
2017-04-14,Good Friday
2017-04-17,Easter Monday
2017-04-25,Anzac Day
2017-06-05,Queen's Birthday
2017-10-23,Labour Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-01-02,Day after New Year's Day
2018-02-06,Waitangi Day
2018-03-30,Good Friday
2018-04-02,Easter Monday
2018-04-25,Anzac Day
2018-06-04,Queen's Birthday
2018-10-22,Labour Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-01-02,Day after New Year's Day
2019-02-06,Waitangi Day
2019-04-19,Good Friday
2019-04-22,Easter Monday
2019-04-25,Anzac Day
2019-06-03,Queen's Birthday
2019-10-28,Labour Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-01-02,Day after New Year's Day
2020-02-06,Waitangi Day
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-04-25,Anzac Day
2020-04-27,Anzac Day (observed)
2020-06-01,Queen's Birthday
2020-10-26,Labour Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2020-12-28,Boxing Day (observed)
2021-01-01,New Year's Day
2021-01-02,Day after New Year's Day
2021-01-04,Day after New Year's Day (observed)
2021-02-06,Waitangi Day
2021-02-08,Waitangi Day (observed)
2021-04-02,Good Friday
2021-04-05,Easter Monday
2021-04-25,Anzac Day
2021-04-26,Anzac Day (observed)
2021-06-07,Queen's Birthday
2021-10-25,Labour Day
2021-12-25,Christmas Day
2021-12-26,Boxing Day
2021-12-27,Christmas Day (observed)
2021-12-28,Boxing Day (observed)
2022-01-01,New Year's Day
2022-01-02,Day after New Year's Day
2022-01-03,New Year's Day (observed)
2022-01-04,Day after New Year's Day (observed)
2022-02-06,Waitangi Day
2022-02-07,Waitangi Day (observed)
2022-04-15,Good Friday
2022-04-18,Easter Monday
2022-04-25,Anzac Day
2022-06-06,Queen's Birthday
2022-06-24,Matariki
2022-09-26,Queen Elizabeth II Memorial Day
2022-10-24,Labour Day
2022-12-25,Christmas Day
2022-12-26,Boxing Day
2022-12-27,Christmas Day (observed)
2023-01-01,New Year's Day
2023-01-02,Day after New Year's Day
2023-01-03,New Year's Day (observed)
2023-02-06,Waitangi Day
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-04-25,Anzac Day
2023-06-05,King's Birthday
2023-07-14,Matariki
2023-10-23,Labour Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-01-02,Day after New Year's Day
2024-02-06,Waitangi Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-04-25,Anzac Day
2024-06-03,King's Birthday
2024-06-28,Matariki
2024-10-28,Labour Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-01-02,Day after New Year's Day
2025-02-06,Waitangi Day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-04-25,Anzac Day
2025-06-02,King's Birthday
2025-06-20,Matariki
2025-10-27,Labour Day
2025-12-25,Christmas Day
2025-12-26,Boxing Day
2026-01-01,New Year's Day
2026-01-02,Day after New Year's Day
2026-02-06,Waitangi Day
2026-04-03,Good Friday
2026-04-06,Easter Monday
2026-04-25,Anzac Day
2026-04-27,Anzac Day (observed)
2026-06-01,King's Birthday
2026-07-10,Matariki
2026-10-26,Labour Day
2026-12-25,Christmas Day
2026-12-26,Boxing Day
2026-12-28,Boxing Day (observed)
