Date,Holiday Name
1919-06-03,King's Birthday
1919-10-27,Labour Day
1919-12-25,Christmas Day
1919-12-26,Boxing Day
1920-01-01,New Year's Day
1920-01-02,Day after New Year's Day
1920-04-02,Good Friday
1920-04-05,Easter Monday
1920-06-03,King's Birthday
1920-10-25,Labour Day
1920-12-25,Christmas Day
1920-12-26,Boxing Day
1920-12-27,Christmas Day (observed)
1920-12-28,Boxing Day (observed)
1921-01-01,New Year's Day
1921-01-02,Day after New Year's Day
1921-01-03,New Year's Day (observed)
1921-01-04,Day after New Year's Day (observed)
1921-03-25,Good Friday
1921-03-28,Easter Monday
1921-04-25,Anzac Day
1921-06-03,King's Birthday
1921-10-24,Labour Day
1921-12-25,Christmas Day
1921-12-26,Boxing Day
1921-12-27,Christmas Day (observed)
1922-01-01,New Year's Day
1922-01-02,Day after New Year's Day
1922-01-03,New Year's Day (observed)
1922-04-14,Good Friday
1922-04-17,Easter Monday
1922-04-25,Anzac Day
1922-06-03,King's Birthday
1922-10-23,Labour Day
1922-12-25,Christmas Day
1922-12-26,Boxing Day
1923-01-01,New Year's Day
1923-01-02,Day after New Year's Day
1923-03-30,Good Friday
1923-04-02,Easter Monday
1923-04-25,Anzac Day
1923-06-03,King's Birthday
1923-10-22,Labour Day
1923-12-25,Christmas Day
1923-12-26,Boxing Day
1924-01-01,New Year's Day
1924-01-02,Day after New Year's Day
1924-04-18,Good Friday
1924-04-21,Easter Monday
1924-04-25,Anzac Day
1924-06-03,King's Birthday
1924-10-27,Labour Day
1924-12-25,Christmas Day
1924-12-26,Boxing Day
1925-01-01,New Year's Day
1925-01-02,Day after New Year's Day
1925-04-10,Good Friday
1925-04-13,Easter Monday
1925-04-25,Anzac Day
1925-06-03,King's Birthday
1925-10-26,Labour Day
1925-12-25,Christmas Day
1925-12-26,Boxing Day
1925-12-28,Boxing Day (observed)
1926-01-01,New Year's Day
1926-01-02,Day after New Year's Day
1926-01-04,Day after New Year's Day (observed)
1926-04-02,Good Friday
1926-04-05,Easter Monday
1926-04-25,Anzac Day
1926-06-03,King's Birthday
1926-10-25,Labour Day
1926-12-25,Christmas Day
1926-12-26,Boxing Day
1926-12-27,Christmas Day (observed)
1926-12-28,Boxing Day (observed)
1927-01-01,New Year's Day
1927-01-02,Day after New Year's Day
1927-01-03,New Year's Day (observed)
1927-01-04,Day after New Year's Day (observed)
1927-04-15,Good Friday
1927-04-18,Easter Monday
1927-04-25,Anzac Day
1927-06-03,King's Birthday
1927-10-24,Labour Day
1927-12-25,Christmas Day
1927-12-26,Boxing Day
1927-12-27,Christmas Day (observed)
1928-01-01,New Year's Day
1928-01-02,Day after New Year's Day
1928-01-03,New Year's Day (observed)
1928-04-06,Good Friday
1928-04-09,Easter Monday
1928-04-25,Anzac Day
1928-06-03,King's Birthday
1928-10-22,Labour Day
1928-12-25,Christmas Day
1928-12-26,Boxing Day
1929-01-01,New Year's Day
1929-01-02,Day after New Year's Day
1929-03-29,Good Friday
1929-04-01,Easter Monday
1929-04-25,Anzac Day
1929-06-03,King's Birthday
1929-10-28,Labour Day
1929-12-25,Christmas Day
1929-12-26,Boxing Day
1930-01-01,New Year's Day
1930-01-02,Day after New Year's Day
1930-04-18,Good Friday
1930-04-21,Easter Monday
1930-04-25,Anzac Day
1930-06-03,King's Birthday
1930-10-27,Labour Day
1930-12-25,Christmas Day
1930-12-26,Boxing Day
1931-01-01,New Year's Day
1931-01-02,Day after New Year's Day
1931-04-03,Good Friday
1931-04-06,Easter Monday
1931-04-25,Anzac Day
1931-06-03,King's Birthday
1931-10-26,Labour Day
1931-12-25,Christmas Day
1931-12-26,Boxing Day
1931-12-28,Boxing Day (observed)
1932-01-01,New Year's Day
1932-01-02,Day after New Year's Day
1932-01-04,Day after New Year's Day (observed)
1932-03-25,Good Friday
1932-03-28,Easter Monday
1932-04-25,Anzac Day
1932-06-03,King's Birthday
1932-10-24,Labour Day
1932-12-25,Christmas Day
1932-12-26,Boxing Day
1932-12-27,Christmas Day (observed)
1933-01-01,New Year's Day
1933-01-02,Day after New Year's Day
1933-01-03,New Year's Day (observed)
1933-04-14,Good Friday
1933-04-17,Easter Monday
1933-04-25,Anzac Day
1933-06-03,King's Birthday
1933-10-23,Labour Day
1933-12-25,Christmas Day
1933-12-26,Boxing Day
1934-01-01,New Year's Day
1934-01-02,Day after New Year's Day
1934-03-30,Good Friday
1934-04-02,Easter Monday
1934-04-25,Anzac Day
1934-06-03,King's Birthday
1934-10-22,Labour Day
1934-12-25,Christmas Day
1934-12-26,Boxing Day
1935-01-01,New Year's Day
1935-01-02,Day after New Year's Day
1935-04-19,Good Friday
1935-04-22,Easter Monday
1935-04-25,Anzac Day
1935-06-03,King's Birthday
1935-10-28,Labour Day
1935-12-25,Christmas Day
1935-12-26,Boxing Day
1936-01-01,New Year's Day
1936-01-02,Day after New Year's Day
1936-04-10,Good Friday
1936-04-13,Easter Monday
1936-04-25,Anzac Day
1936-06-23,King's Birthday
1936-10-26,Labour Day
1936-12-25,Christmas Day
1936-12-26,Boxing Day
1936-12-28,Boxing Day (observed)
1937-01-01,New Year's Day
1937-01-02,Day after New Year's Day
1937-01-04,Day after New Year's Day (observed)
1937-03-26,Good Friday
1937-03-29,Easter Monday
1937-04-25,Anzac Day
1937-06-09,King's Birthday
1937-10-25,Labour Day
1937-12-25,Christmas Day
1937-12-26,Boxing Day
1937-12-27,Christmas Day (observed)
1937-12-28,Boxing Day (observed)
1938-01-01,New Year's Day
1938-01-02,Day after New Year's Day
1938-01-03,New Year's Day (observed)
1938-01-04,Day after New Year's Day (observed)
1938-04-15,Good Friday
1938-04-18,Easter Monday
1938-04-25,Anzac Day
1938-06-06,King's Birthday
1938-10-24,Labour Day
1938-12-25,Christmas Day
1938-12-26,Boxing Day
1938-12-27,Christmas Day (observed)
1939-01-01,New Year's Day
1939-01-02,Day after New Year's Day
1939-01-03,New Year's Day (observed)
1939-04-07,Good Friday
1939-04-10,Easter Monday
1939-04-25,Anzac Day
1939-06-05,King's Birthday
1939-10-23,Labour Day
1939-12-25,Christmas Day
1939-12-26,Boxing Day
1940-01-01,New Year's Day
1940-01-02,Day after New Year's Day
1940-03-22,Good Friday
1940-03-25,Easter Monday
1940-04-25,Anzac Day
1940-06-03,King's Birthday
1940-10-28,Labour Day
1940-12-25,Christmas Day
1940-12-26,Boxing Day
1941-01-01,New Year's Day
1941-01-02,Day after New Year's Day
1941-04-11,Good Friday
1941-04-14,Easter Monday
1941-04-25,Anzac Day
1941-06-02,King's Birthday
1941-10-27,Labour Day
1941-12-25,Christmas Day
1941-12-26,Boxing Day
1942-01-01,New Year's Day
1942-01-02,Day after New Year's Day
1942-04-03,Good Friday
1942-04-06,Easter Monday
1942-04-25,Anzac Day
1942-06-01,King's Birthday
1942-10-26,Labour Day
1942-12-25,Christmas Day
1942-12-26,Boxing Day
1942-12-28,Boxing Day (observed)
1943-01-01,New Year's Day
1943-01-02,Day after New Year's Day
1943-01-04,Day after New Year's Day (observed)
1943-04-23,Good Friday
1943-04-25,Anzac Day
1943-04-26,Easter Monday
1943-06-07,King's Birthday
1943-10-25,Labour Day
1943-12-25,Christmas Day
1943-12-26,Boxing Day
1943-12-27,Christmas Day (observed)
1943-12-28,Boxing Day (observed)
1944-01-01,New Year's Day
1944-01-02,Day after New Year's Day
1944-01-03,New Year's Day (observed)
1944-01-04,Day after New Year's Day (observed)
1944-04-07,Good Friday
1944-04-10,Easter Monday
1944-04-25,Anzac Day
1944-06-05,King's Birthday
1944-10-23,Labour Day
1944-12-25,Christmas Day
1944-12-26,Boxing Day
1945-01-01,New Year's Day
1945-01-02,Day after New Year's Day
1945-03-30,Good Friday
1945-04-02,Easter Monday
1945-04-25,Anzac Day
1945-06-04,King's Birthday
1945-10-22,Labour Day
1945-12-25,Christmas Day
1945-12-26,Boxing Day
1946-01-01,New Year's Day
1946-01-02,Day after New Year's Day
1946-04-19,Good Friday
1946-04-22,Easter Monday
1946-04-25,Anzac Day
1946-06-03,King's Birthday
1946-10-28,Labour Day
1946-12-25,Christmas Day
1946-12-26,Boxing Day
1947-01-01,New Year's Day
1947-01-02,Day after New Year's Day
1947-04-04,Good Friday
1947-04-07,Easter Monday
1947-04-25,Anzac Day
1947-06-02,King's Birthday
1947-10-27,Labour Day
1947-12-25,Christmas Day
1947-12-26,Boxing Day
1948-01-01,New Year's Day
1948-01-02,Day after New Year's Day
1948-03-26,Good Friday
1948-03-29,Easter Monday
1948-04-25,Anzac Day
1948-06-07,King's Birthday
1948-10-25,Labour Day
1948-12-25,Christmas Day
1948-12-26,Boxing Day
1948-12-27,Christmas Day (observed)
1948-12-28,Boxing Day (observed)
1949-01-01,New Year's Day
1949-01-02,Day after New Year's Day
1949-01-03,New Year's Day (observed)
1949-01-04,Day after New Year's Day (observed)
1949-04-15,Good Friday
1949-04-18,Easter Monday
1949-04-25,Anzac Day
1949-06-06,King's Birthday
1949-10-24,Labour Day
1949-12-25,Christmas Day
1949-12-26,Boxing Day
1949-12-27,Christmas Day (observed)
1950-01-01,New Year's Day
1950-01-02,Day after New Year's Day
1950-01-03,New Year's Day (observed)
1950-04-07,Good Friday
1950-04-10,Easter Monday
1950-04-25,Anzac Day
1950-06-05,King's Birthday
1950-10-23,Labour Day
1950-12-25,Christmas Day
1950-12-26,Boxing Day
1951-01-01,New Year's Day
1951-01-02,Day after New Year's Day
1951-03-23,Good Friday
1951-03-26,Easter Monday
1951-04-25,Anzac Day
1951-06-04,King's Birthday
1951-10-22,Labour Day
1951-12-25,Christmas Day
1951-12-26,Boxing Day
1952-01-01,New Year's Day
1952-01-02,Day after New Year's Day
1952-04-11,Good Friday
1952-04-14,Easter Monday
1952-04-25,Anzac Day
1952-06-02,Queen's Birthday
1952-10-27,Labour Day
1952-12-25,Christmas Day
1952-12-26,Boxing Day
1953-01-01,New Year's Day
1953-01-02,Day after New Year's Day
1953-04-03,Good Friday
1953-04-06,Easter Monday
1953-04-25,Anzac Day
1953-06-01,Queen's Birthday
1953-10-26,Labour Day
1953-12-25,Christmas Day
1953-12-26,Boxing Day
1953-12-28,Boxing Day (observed)
1954-01-01,New Year's Day
1954-01-02,Day after New Year's Day
1954-01-04,Day after New Year's Day (observed)
1954-04-16,Good Friday
1954-04-19,Easter Monday
1954-04-25,Anzac Day
1954-06-07,Queen's Birthday
1954-10-25,Labour Day
1954-12-25,Christmas Day
1954-12-26,Boxing Day
1954-12-27,Christmas Day (observed)
1954-12-28,Boxing Day (observed)
1955-01-01,New Year's Day
1955-01-02,Day after New Year's Day
1955-01-03,New Year's Day (observed)
1955-01-04,Day after New Year's Day (observed)
1955-04-08,Good Friday
1955-04-11,Easter Monday
1955-04-25,Anzac Day
1955-06-06,Queen's Birthday
1955-10-24,Labour Day
1955-12-25,Christmas Day
1955-12-26,Boxing Day
1955-12-27,Christmas Day (observed)
1956-01-01,New Year's Day
1956-01-02,Day after New Year's Day
1956-01-03,New Year's Day (observed)
1956-03-30,Good Friday
1956-04-02,Easter Monday
1956-04-25,Anzac Day
1956-06-04,Queen's Birthday
1956-10-22,Labour Day
1956-12-25,Christmas Day
1956-12-26,Boxing Day
1957-01-01,New Year's Day
1957-01-02,Day after New Year's Day
1957-04-19,Good Friday
1957-04-22,Easter Monday
1957-04-25,Anzac Day
1957-06-03,Queen's Birthday
1957-10-28,Labour Day
1957-12-25,Christmas Day
1957-12-26,Boxing Day
1958-01-01,New Year's Day
1958-01-02,Day after New Year's Day
1958-04-04,Good Friday
1958-04-07,Easter Monday
1958-04-25,Anzac Day
1958-06-02,Queen's Birthday
1958-10-27,Labour Day
1958-12-25,Christmas Day
1958-12-26,Boxing Day
1959-01-01,New Year's Day
1959-01-02,Day after New Year's Day
1959-03-27,Good Friday
1959-03-30,Easter Monday
1959-04-25,Anzac Day
1959-06-01,Queen's Birthday
1959-10-26,Labour Day
1959-12-25,Christmas Day
1959-12-26,Boxing Day
1959-12-28,Boxing Day (observed)
1960-01-01,New Year's Day
1960-01-02,Day after New Year's Day
1960-01-04,Day after New Year's Day (observed)
1960-04-15,Good Friday
1960-04-18,Easter Monday
1960-04-25,Anzac Day
1960-06-06,Queen's Birthday
1960-10-24,Labour Day
1960-12-25,Christmas Day
1960-12-26,Boxing Day
1960-12-27,Christmas Day (observed)
1961-01-01,New Year's Day
1961-01-02,Day after New Year's Day
1961-01-03,New Year's Day (observed)
1961-03-31,Good Friday
1961-04-03,Easter Monday
1961-04-25,Anzac Day
1961-06-05,Queen's Birthday
1961-10-23,Labour Day
1961-12-25,Christmas Day
1961-12-26,Boxing Day
1962-01-01,New Year's Day
1962-01-02,Day after New Year's Day
1962-04-20,Good Friday
1962-04-23,Easter Monday
1962-04-25,Anzac Day
1962-06-04,Queen's Birthday
1962-10-22,Labour Day
1962-12-25,Christmas Day
1962-12-26,Boxing Day
1963-01-01,New Year's Day
1963-01-02,Day after New Year's Day
1963-04-12,Good Friday
1963-04-15,Easter Monday
1963-04-25,Anzac Day
1963-06-03,Queen's Birthday
1963-10-28,Labour Day
1963-12-25,Christmas Day
1963-12-26,Boxing Day
1964-01-01,New Year's Day
1964-01-02,Day after New Year's Day
1964-03-27,Good Friday
1964-03-30,Easter Monday
1964-04-25,Anzac Day
