"Date","Holiday.Name","Day"
1911-12-25,"Christmas Day","Monday"
1911-12-26,"Boxing Day","Tuesday"
1912-01-01,"New Years Day","Monday"
1912-01-02,"Day after New Years Day","Tuesday"
1912-04-05,"Good Friday","Friday"
1912-04-08,"Easter Monday","Monday"
1912-06-03,"Kings Birthday","Monday"
1912-10-28,"Labour Day","Monday"
1912-12-25,"Christmas Day","Wednesday"
1912-12-26,"Boxing Day","Thursday"
1913-01-01,"New Years Day","Wednesday"
1913-01-02,"Day after New Years Day","Thursday"
1913-03-21,"Good Friday","Friday"
1913-03-24,"Easter Monday","Monday"
1913-06-03,"Kings Birthday","Tuesday"
1913-10-27,"Labour Day","Monday"
1913-12-25,"Christmas Day","Thursday"
1913-12-26,"Boxing Day","Friday"
1914-01-01,"New Years Day","Thursday"
1914-01-02,"Day after New Years Day","Friday"
1914-04-10,"Good Friday","Friday"
1914-04-13,"Easter Monday","Monday"
1914-06-03,"Kings Birthday","Wednesday"
1914-10-26,"Labour Day","Monday"
1914-12-25,"Christmas Day","Friday"
1914-12-26,"Boxing Day","Saturday"
1914-12-28,"Boxing Day (observed)","Monday"
1915-01-01,"New Years Day","Friday"
1915-01-02,"Day after New Years Day","Saturday"
1915-01-04,"Day after New Years Day (observed)","Monday"
1915-04-02,"Good Friday","Friday"
1915-04-05,"Easter Monday","Monday"
1915-06-03,"Kings Birthday","Thursday"
1915-10-25,"Labour Day","Monday"
1915-12-25,"Christmas Day","Saturday"
1915-12-26,"Boxing Day","Sunday"
1915-12-27,"Christmas Day (observed)","Monday"
1915-12-28,"Boxing Day (observed)","Tuesday"
1916-01-01,"New Years Day","Saturday"
1916-01-02,"Day after New Years Day","Sunday"
1916-01-03,"New Years Day (observed)","Monday"
1916-01-04,"Day after New Years Day (observed)","Tuesday"
1916-04-21,"Good Friday","Friday"
1916-04-24,"Easter Monday","Monday"
1916-06-03,"Kings Birthday","Saturday"
1916-10-23,"Labour Day","Monday"
1916-12-25,"Christmas Day","Monday"
1916-12-26,"Boxing Day","Tuesday"
1917-01-01,"New Years Day","Monday"
1917-01-02,"Day after New Years Day","Tuesday"
1917-04-06,"Good Friday","Friday"
1917-04-09,"Easter Monday","Monday"
